restaurantsName,restaurantType,location,src,rating,reviews,url,description,quickFacts,businessHours
Panjshir,AFGHAN,"114 East Fairfax Street, Falls Church, VA",https://www.zabihah.com/img/photos/150255.jpg,NR,0,https://www.zabihah.com/biz/Falls-Church/Panjshir/tlthuB1pMp,"Panjshir, named after an Afghan province, is run by Esmat Niazy, who took over after his father, Aziz, who launched the business in 1985. According to Esmat, his father came to the United States and dreamed of building a business for himself. Northern Virginia became introduced to home-style cuisine from Kabul, such as the delectable pumpkin dish Kadu Palow.Aziz is now retired and has trained his daughter, Maria, to run the kitchen. Panjshir accurately reflects the native dishes from Afghanistan by using simple flavors that resemble what one would receive at a family meal at home. The kabobs arrive at the table, pierced by the skewer that they were delicately roasted on, often with a slightly charred flavor that is unique to middle-eastern cooking. ","(703) 536-4566 | Full halal menu | Alcohol served | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",5:00p-8:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
The Perfect Pita,MEDITERRANEAN,"8280 Greensboro Drive, McLean, VA",https://www.zabihah.com/img/photos/chain_501.jpg,NR,0,https://www.zabihah.com/biz/McLean/The-Perfect-Pita/HTRMKqrRG8,"The Perfect Pita was founded in 1994 and remains family-owned and operated today. Based in Springfield, Virginia, our restaurants and catering company (The Perfect Daughter) proudly serve Northern Virginia, Washington, DC, Prince George's county (Md.) and Montgomery county (Md.). Our pita bread and hummus are also available at several retail outlets locally. You are what you eat, so why not be perfect? Famous for our homemade pita bread, baked daily, and highly acclaimed hummus, The Perfect Pita offers customers freshly made food created from family recipes using natural and locally grown ingredients. Our quick service Mediterranean-American menu offers healthy and filling options that appeal to a variety of tastes, whether Mediterranean, classic American, a blend of the two, vegetarian or vegan, there is a perfect option for everyone. ","(703) 448-7482 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",CLOSE | 7:00a-3:00p | 7:00a-3:00p | 7:00a-3:00p | 7:00a-3:00p | 7:00a-3:00p | CLOSE
Pizza Twist,"INDIAN, AMERICAN, ITALIAN","5645 Lee Highway, Arlington, VA",https://www.zabihah.com/img/photos/chain_482.jpg,NR,0,https://www.zabihah.com/biz/Arlington/Pizza-Twist/uu1R4SWXbp,"Pizza with halal chicken and halal wings. Indian Style Pizza like Tandoori Chicken Pizza, Chicken Tikka Masala Pizza and other Indian flavored pizzas along with traditional pizza. ","(571) 347-1700 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard - accepted | Available to-go | Delivery available | Parking available",11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p
Loopy's Eatery,KOREAN,"6930 Braddock Road, Suite H, Annandale, VA",https://www.zabihah.com/img/photos/163635_logo.jpg,NR,0,https://www.zabihah.com/biz/Annandale/Loopys-Eatery/kIfPojXbBC,"Loopy's Eatery is a family owned and operated restaurant that features an eclectic mix of traditional Korean cuisine and fusion comfort foods with halal options. We offer simple, soul satisfying food at a fair price. A few of our signature dishes are L.A. Kalbi, Bibim Bop bowls, Fusion Tacos, Bulgogi Cheesesteak, and Donkatsu. We take great pride in making food with heart and treating our customers with respect. If you believe in the same, you will enjoy what we have to offer. ","(703) 941-4828 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",CLOSE | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p
Balqees,"YEMENI, LEBANESE","5820 Seminary Road, Falls Church, VA",https://www.zabihah.com/img/photo_zabihah.png,NR,0,https://www.zabihah.com/biz/Falls-Church/Balqees/jJ7C0BSLRe,Traditional Yemeni and Lebanese Cuisine ,"(703) 379-0188 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Hot Lola’s,AMERICAN,"4238 Wilson Blvd., Arlington, VA",https://www.zabihah.com/img/photos/163639_logo.jpg,NR,0,https://www.zabihah.com/biz/Arlington/Hot-Lolarsquos/YB34snNt9I,"Serving up Nashville x Sichuan HOT fried chicken sandwiches and tenders in the Quarter Market, Level C of Ballston Quarter in Virginia. Located in the Quarter Market in Ballston. With a passion for fried chicken and a taste for bold flavors, Chef Kevin Tien offers up his take on hot chicken sandwiches, tenders, and sides. Our team at Hot Lola's is just as passionate to serve you. Come by and get to know us! ","(703) 807-0044 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available ",11:00a-8:00p | 11:00a-8:30p | 11:00a-8:30p | 11:00a-8:30p | 11:00a-12:00a | 11:00a-12:00a | 11:00a-12:00a
Balqees,"YEMENI, LEBANESE","5820 Seminary Road, Falls Church, VA",https://www.zabihah.com/img/photo_zabihah.png,NR,0,https://www.zabihah.com/biz/Falls-Church/Balqees/jJ7C0BSLRe,Traditional Yemeni and Lebanese Cuisine ,"(703) 379-0188 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Hot Lola’s,AMERICAN,"4238 Wilson Blvd., Arlington, VA",https://www.zabihah.com/img/photos/163639_logo.jpg,NR,0,https://www.zabihah.com/biz/Arlington/Hot-Lolarsquos/YB34snNt9I,"Serving up Nashville x Sichuan HOT fried chicken sandwiches and tenders in the Quarter Market, Level C of Ballston Quarter in Virginia. Located in the Quarter Market in Ballston. With a passion for fried chicken and a taste for bold flavors, Chef Kevin Tien offers up his take on hot chicken sandwiches, tenders, and sides. Our team at Hot Lola's is just as passionate to serve you. Come by and get to know us! ","(703) 807-0044 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available ",11:00a-8:00p | 11:00a-8:30p | 11:00a-8:30p | 11:00a-8:30p | 11:00a-12:00a | 11:00a-12:00a | 11:00a-12:00a
Columbia Café,"MEDITERRANEAN, AMERICAN, PAKISTANI","6500 Old Waterloo Road, Elkridge, MD",https://www.zabihah.com/img/photos/163453_logo.jpg,NR,0,https://www.zabihah.com/biz/Elkridge/Columbia-Cafe/kxHHh3aX22,"Columbia Cafe Halal is a Pakistani, American and Mediterranean restaurant with a fully halal menu. The cafe serves breakfast all day, has a smoothie and fresh juice menu and has fresh desi snacks and bakery items daily. ","(443) 661-4023 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Discover - accepted | Available to-go  | Delivery available | Parking available | null | null | No prayer accomodations | null | Organic halal available",11:00a-10:00a | 10:00a-10:00p | 10:00a-10:00p | 10:00a-10:00p | 10:00a-10:00p | 10:00a-12:00a | 10:00a-12:00a
Flavors of India,INDIAN,"7185 Columbia Gateway Drive, Suite A, Columbia, MD",https://www.zabihah.com/img/photos/133602_logo.jpg,NR,0,https://www.zabihah.com/biz/Columbia/Flavors-of-India/T18zI64Fev,"Indian Buffet restaurant with a lot of variety. Established in 2011 to deliver the most authentic Indian experience in Columbia, Flavors of India is the easiest way to enjoy a visit to the subcontinent without ever having to leave Maryland! ","(410) 290-1599 | Full halal menu | Alcohol served | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Debit Card - accepted | Available to-go | null | Parking available",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Mount Everest,"AMERICAN, INDIAN, NEPALI","606 Marshalee Drive, Elkridge, MD",https://www.zabihah.com/img/photos/138422_logo.jpg,NR,0,https://www.zabihah.com/biz/Elkridge/Mount-Everest/eDu8vtSxJs,"Mount Everest has always given the people of Maryland quality food, fast delivery and great customer service. Our Indian, Nepalese, and American food items are prepared freshly daily in our kitchen and that's our guarantee. Try one of our many food choices with family and friends. Please come to Mount Everest and enjoy the fresh and great food items. ","(410) 540-2999 | Full halal menu | Alcohol served | $$ out of $$$$ | Cash , VISA - accepted | Available to-go | Delivery available | Parking available | null | Catering available (more info) | No prayer accomodations",10:30a-10:30p | 10:30a-10:30p | 10:30a-10:30p | 10:30a-10:30p | 10:30a-10:30p | 10:30a-11:30p | 10:30a-11:30p
India Palace,INDIAN,"35 Cranbrook Road, Cockeysville, MD",https://www.zabihah.com/img/photos/139911_logo.jpg,NR,0,https://www.zabihah.com/biz/Cockeysville/India-Palace/jl7vzWbNUa,"null",(410) 628-6800 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash - accepted | Available to-go,11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Shinwari,PAKISTANI,"6654 Arlington Blvd., Unit R3, West Falls Church, VA",https://www.zabihah.com/img/photos/164025_logo.jpg,NR,0,https://www.zabihah.com/biz/West-Falls-Church/Shinwari/HetbnLpK0w,"Shinwari is a cultural cuisine started by entrepreneurs in the state Virginia, USA. It is a project started by entrepreneurs, looking to bring the nostalgia of their homeland to the fast-paced life of Peshawar where one has no time to replicate the indulgent delicacies that require time and effort. If you want a nice and 100% authentic serving of true to the core Shinwari Northern Pakistani cuisine, Shinwari is your one stop for it all. ","(703) 532-4100 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",12:00p-10:00p | 5:00p-10:00p | 5:00p-10:00p | 5:00p-10:00p | 5:00p-10:00p | 12:00p-10:00p | 12:00p-10:00p
Halal Hunan Village,CHINESE,"5900 Leesburg Pike, Falls Church, VA",https://www.zabihah.com/img/photo_zabihah.png,NR,0,https://www.zabihah.com/biz/Falls-Church/Halal-Hunan-Village/HmG1ku1dOi,"null","(202) 410-1865 | Full halal menu | Alcohol-free | $ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-10:30p | 11:30a-10:30p
Ñoño’s Taqueria,MEXICAN,"3207 Columbia Pike, Arlington, VA",https://www.zabihah.com/img/photos/165712_logo.jpg,NR,0,https://www.zabihah.com/biz/Arlington/Ntildeontildeorsquos-Taqueria/nnqE9Vbq2d,Ñoños Birrieria Taqueria Mariscos y mas! ,"(703) 587-4542 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-7:00p | 11:30a-9:00p | 11:30a-9:00p | 11:30a-9:00p | 11:30a-9:00p | 11:30a-9:00p | 11:30a-9:00p
Hangry Joe's Hot Chicken,AMERICAN,"3525 South Jefferson Street, Falls Church, VA",https://www.zabihah.com/img/photos/chain_571.jpg,NR,0,https://www.zabihah.com/biz/Falls-Church/Hangry-Joes-Hot-Chicken/iqNnKGxPOw,"Derek Cha, who had founded the Sweet Frog Frozen Yogurt in 2009 and other various concepts, with the collaboration with his partner, Mike Kim, comes up with the best chicken sandwich in town by bringing forth the Nashville style chicken sandwich. After visiting many successful Nashville style chicken restaurant in LA, Nashville, and San Francisco, we could successfully develop our secret chicken recipe to have the most juicy and crispy sandwich. ","(571) 749-5779 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p | 11:30a-9:30p
Hangry Joe's Hot Chicken,AMERICAN,"277 South Van Dorn Street, Alexandria, VA",https://www.zabihah.com/img/photos/chain_571.jpg,NR,0,https://www.zabihah.com/biz/Alexandria/Hangry-Joes-Hot-Chicken/2yq95dkuLW,"Derek Cha, who had founded the Sweet Frog Frozen Yogurt in 2009 and other various concepts, with the collaboration with his partner, Mike Kim, comes up with the best chicken sandwich in town by bringing forth the Nashville style chicken sandwich. After visiting many successful Nashville style chicken restaurant in LA, Nashville, and San Francisco, we could successfully develop our secret chicken recipe to have the most juicy and crispy sandwich. ","(571) 899-3993 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p
Hangry Joe's Hot Chicken,AMERICAN,"6480 Landsdowne Centre Drive, Alexandria, VA",https://www.zabihah.com/img/photos/chain_571.jpg,NR,0,https://www.zabihah.com/biz/Alexandria/Hangry-Joes-Hot-Chicken/wtuVM6kjSi,"Derek Cha, who had founded the Sweet Frog Frozen Yogurt in 2009 and other various concepts, with the collaboration with his partner, Mike Kim, comes up with the best chicken sandwich in town by bringing forth the Nashville style chicken sandwich. After visiting many successful Nashville style chicken restaurant in LA, Nashville, and San Francisco, we could successfully develop our secret chicken recipe to have the most juicy and crispy sandwich. ","(571) 347-7923 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p
Istanbul Kitchen,"TURKISH, MEDITERRANEAN","7943 Tysons Corner Center, First Floor, McLean, VA",https://www.zabihah.com/img/photos/164087_logo.jpg,1,1,https://www.zabihah.com/biz/McLean/Istanbul-Kitchen/wa35lqULtZ,"Pastry (poaca, simit, baklava), Kofta, Chicken sautee, pilav rice. All are home-made. Located in Tysons Corner bottom floor (next to McDonalds, Panera Bread and Halal Guys). ","(571) 216-5893 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Debit Card , Discover - accepted | Available to-go | Delivery available | Parking available",11:00a-7:00p | 11:00a-7:00p | 11:00a-7:00p | 11:00a-7:00p | 11:00a-7:00p | 11:00a-7:00p | 11:00a-7:00p
Akkad Café,"MEDITERRANEAN, MIDDLE EASTERN","609 West 11th Street, Vancouver, WA",https://www.zabihah.com/img/photos/149185_logo.jpg,NR,0,https://www.zabihah.com/biz/Vancouver/Akkad-Cafe/ophjPio07K,"Akkad Café is located in the heart of downtown Vancouver, 15 minutes from downtown Portland. Please join us at our new location for a full dine-in experience, takeout, or delivery as we continue to offer a taste of Mediterranean and Middle Eastern cuisine. ","(360) 448 7970 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go",CLOSE | 11:00a-6:00p | 11:00a-6:00p | 11:00a-6:00p | 11:00a-6:00p | 11:00a-6:00p | 12:00p-5:00p
Greenwood Flame Burger,AMERICAN,"10410 Greenwood Avenue North, Suite B, Seattle, WA",https://www.zabihah.com/img/photos/149727_logo.jpg,4,2,https://www.zabihah.com/biz/Seattle/Greenwood-Flame-Burger/nhCVL9BspP,"null","(206) 708-7743 | Full halal menu | Alcohol-free | $ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-12:00a | 11:30a-12:00a | 11:30a-12:00a | 11:30a-12:00a | 11:30a-12:00a | 11:30a-12:00a | 11:30a-12:00a
The Halal Guys,"MIDDLE EASTERN, AMERICAN","105 Yesler Way, Seattle, WA",https://www.zabihah.com/img/photos/chain_331.jpg,NR,0,https://www.zabihah.com/biz/Seattle/The-Halal-Guys/1e7UMVqPSn,"From humble beginnings as a New York City hot dog cart to a world-renowned international restaurant chain, The Halal Guys story is the quintessential American Dream. The Halal Guys is defining a new, thriving segment for the restaurant industry: American Halal Food! The Halal Guys legend began in 1990, when the three founding partners opened up a hot dog cart on West 53rd &amp; 6th Avenue in New York City. As business grew, they recognized a huge demand from Muslim cab drivers looking for a halal food meal. That is when the famous platter of chicken and gyro over rice was born. And let's not forget about the famous white and red sauces! Fast-forward 25 years, five carts, two New York City restaurants, and millions of diverse customers served, The Halal Guys is growing yet again. Fans no longer have to be in NYC to experience The Halal Guys as they look to share American Halal Food all over the country and the world. ","(206) 467-1178 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Gyros Plus,"MEDITERRANEAN, AMERICAN","209 East Casino Road, Suite D, Everett, WA",https://www.zabihah.com/img/photos/165465_logo.jpg,NR,0,https://www.zabihah.com/biz/Everett/Gyros-Plus/Zhu5cD8UwP,Casual restaurant serving quick eats. ,"(425) 355-4976 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , Debit Card - accepted | Available to-go | Delivery available | Parking available",11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p | 11:30a-10:00p
Pizza Twist,"INDIAN, AMERICAN, ITALIAN","23623 104th Avenue SE, Kent, WA",https://www.zabihah.com/img/photos/chain_482.jpg,NR,0,https://www.zabihah.com/biz/Kent/Pizza-Twist/OvdOjrRZWe,"Pizza with halal chicken and halal wings. Indian Style Pizza like Tandoori Chicken Pizza, Chicken Tikka Masala Pizza and other Indian flavored pizzas along with traditional pizza. ","(253) 520-2990 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard - accepted | Available to-go | Delivery available | Parking available",11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p | 11:00a-9:00p
Safura,MEDITERRANEAN,"4160 6th Avenue SE, Olympia, WA",https://www.zabihah.com/img/photo_zabihah.png,3.8,6,https://www.zabihah.com/biz/Olympia/Safura/fDffKvzNPk,"null",(360) 438-7898 | Full halal menu | Alcohol-free | $$ out of $$$$ | Cash - accepted,11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Mediterranean Kitchen,MIDDLE EASTERN,"103 Bellevue Way NE, Bellevue, WA",https://www.zabihah.com/img/photo_zabihah.png,3.7,7,https://www.zabihah.com/biz/Bellevue/Mediterranean-Kitchen/5MV7grRrWX,"null","(425) 462-9422 | Partial halal menu | Alcohol-free | $$ out of $$$$ | Cash , VISA , MasterCard , American Express , Debit Card - accepted ",11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
Cedars,MIDDLE EASTERN,"4759 Brooklyn NE, Seattle, WA",https://www.zabihah.com/img/photos/182.jpg,3.6,10,https://www.zabihah.com/biz/Seattle/Cedars/3yj0uaizdA,"null",(206) 527-5247 | Alcohol served | $$ out of $$$$ | Cash - accepted,11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p | 11:00a-10:00p
